,DMA_code,Date,Display Impressions
0,543,2021-01-04,3519.77
1,543,2021-01-11,3580.55
2,543,2021-01-18,4472.14
3,543,2021-01-25,3086.39
4,543,2021-02-01,2084.56
5,543,2021-02-08,3010.28
6,543,2021-02-15,3019.47
7,543,2021-02-22,3580.02
8,543,2021-03-01,2998.9
9,543,2021-03-08,2590.79
10,543,2021-03-15,4437.91
11,543,2021-03-22,4886.07
12,543,2021-03-29,3159.83
13,543,2021-04-05,3505.88
14,543,2021-04-12,3535.93
15,543,2021-04-19,3084.75
16,543,2021-04-26,1415.32
17,543,2021-05-03,1206.28
18,543,2021-05-10,4433.3
19,543,2021-05-17,1930.36
20,543,2021-05-24,3581.38
21,543,2021-05-31,3510.48
22,543,2021-06-07,3278.39
23,543,2021-06-14,1526.6
24,543,2021-06-21,1242.43
25,543,2021-06-28,1872.08
26,543,2021-07-05,3423.25
27,543,2021-07-12,3189.37
28,543,2021-07-19,3893.81
29,543,2021-07-26,2585.53
30,543,2021-08-02,4119.14
31,543,2021-08-09,3210.98
32,543,2021-08-16,1308.21
33,543,2021-08-23,1402.07
34,543,2021-08-30,2082.47
35,543,2021-09-06,2526.82
36,543,2021-09-13,4863.63
37,543,2021-09-20,4632.18
38,543,2021-09-27,3284.92
39,543,2021-10-04,1800.82
40,543,2021-10-11,4924.42
41,543,2021-10-18,3151.91
42,543,2021-10-25,3358.95
43,543,2021-11-01,2982.03
44,543,2021-11-08,3098.28
45,543,2021-11-15,3890.17
46,543,2021-11-22,1721.37
47,543,2021-11-29,2987.58
48,543,2021-12-06,1600.67
49,543,2021-12-13,1742.46
50,543,2021-12-20,2821.73
51,543,2021-12-27,1905.59
52,543,2022-01-03,4818.47
53,543,2022-01-10,1511.2
54,543,2022-01-17,4930.65
55,543,2022-01-24,4769.26
56,543,2022-01-31,4266.89
57,543,2022-02-07,3300.27
58,543,2022-02-14,2886.99
59,543,2022-02-21,3912.75
60,543,2022-02-28,1447.08
61,543,2022-03-07,3240.57
62,543,2022-03-14,4590.01
63,543,2022-03-21,3407.41
64,543,2022-03-28,2261.55
65,543,2022-04-04,2599.73
66,543,2022-04-11,3837.06
67,543,2022-04-18,1203.83
68,543,2022-04-25,3513.82
69,543,2022-05-02,2285.33
70,543,2022-05-09,2592.1
71,543,2022-05-16,2124.28
72,543,2022-05-23,4563.5
73,543,2022-05-30,4280.14
74,543,2022-06-06,4406.72
75,543,2022-06-13,2644.77
76,543,2022-06-20,1513.55
77,543,2022-06-27,3607.68
78,543,2022-07-04,3682.07
79,543,2022-07-11,2669.57
80,543,2022-07-18,1280.51
81,543,2022-07-25,1887.65
82,543,2022-08-01,1064.31
83,543,2022-08-08,3862.87
84,543,2022-08-15,4554.47
85,543,2022-08-22,4527.22
86,543,2022-08-29,1966.7
87,543,2022-09-05,1828.01
88,543,2022-09-12,2853.17
89,543,2022-09-19,1819.62
90,543,2022-09-26,1507.69
91,543,2022-10-03,1692.99
92,543,2022-10-10,2688.78
93,543,2022-10-17,2819.44
94,543,2022-10-24,3652.75
95,543,2022-10-31,4859.76
96,543,2022-11-07,4645.28
97,543,2022-11-14,2428.38
98,543,2022-11-21,1708.85
99,543,2022-11-28,4853.23
100,543,2022-12-05,3634.89
101,543,2022-12-12,3367.49
102,543,2022-12-19,3108.03
103,543,2022-12-26,2363.26
104,543,2023-01-02,3375.99
105,543,2023-01-09,2710.35
106,543,2023-01-16,3081.33
107,543,2023-01-23,3074.38
108,543,2023-01-30,1081.36
109,543,2023-02-06,2353.88
110,543,2023-02-13,1631.08
111,543,2023-02-20,4512.52
112,543,2023-02-27,3282.95
113,543,2023-03-06,2693.46
114,543,2023-03-13,3630.93
115,543,2023-03-20,1798.62
116,543,2023-03-27,2153.69
117,543,2023-04-03,2066.46
118,543,2023-04-10,3412.7
119,543,2023-04-17,3031.69
120,543,2023-04-24,3089.02
121,543,2023-05-01,4867.49
122,543,2023-05-08,1677.1
123,543,2023-05-15,1879.4
124,543,2023-05-22,3308.54
125,543,2023-05-29,3040.61
126,543,2023-06-05,2812.26
127,543,2023-06-12,2779.23
128,543,2023-06-19,3489.79
129,543,2023-06-26,4154.09
130,543,2023-07-03,2518.8
131,543,2023-07-10,3016.24
132,543,2023-07-17,3930.19
133,543,2023-07-24,2706.23
134,543,2023-07-31,1922.83
135,543,2023-08-07,1675.47
136,543,2023-08-14,1277.36
137,543,2023-08-21,3802.87
138,543,2023-08-28,2095.61
139,543,2023-09-04,3138.59
140,543,2023-09-11,3571.53
141,543,2023-09-18,3877.69
142,543,2023-09-25,1162.26
143,543,2023-10-02,2093.93
144,543,2023-10-09,2127.71
145,543,2023-10-16,2854.18
146,543,2023-10-23,2913.23
147,543,2023-10-30,1912.38
148,543,2023-11-06,1706.16
149,543,2023-11-13,4348.11
150,543,2023-11-20,2992.18
151,543,2023-11-27,1593.45
152,543,2023-12-04,2869.84
153,543,2023-12-11,4256.77
154,543,2023-12-18,2282.27
155,543,2023-12-25,1713.04
156,506,2021-01-04,4048.37
157,506,2021-01-11,1109.74
158,506,2021-01-18,3278.9
159,506,2021-01-25,3846.66
160,506,2021-02-01,2843.81
161,506,2021-02-08,1102.99
162,506,2021-02-15,4351.91
163,506,2021-02-22,3817.03
164,506,2021-03-01,1151.61
165,506,2021-03-08,2774.94
166,506,2021-03-15,2293.23
167,506,2021-03-22,4777.83
168,506,2021-03-29,2876.58
169,506,2021-04-05,1487.82
170,506,2021-04-12,1003.17
171,506,2021-04-19,3177.2
172,506,2021-04-26,2124.38
173,506,2021-05-03,2240.7
174,506,2021-05-10,4371.95
175,506,2021-05-17,2103.34
176,506,2021-05-24,3164.12
177,506,2021-05-31,2958.92
178,506,2021-06-07,2252.66
179,506,2021-06-14,3349.58
180,506,2021-06-21,3583.24
181,506,2021-06-28,2072.43
182,506,2021-07-05,1926.96
183,506,2021-07-12,2212.18
184,506,2021-07-19,2174.81
185,506,2021-07-26,1957.49
186,506,2021-08-02,4891.23
187,506,2021-08-09,2419.3
188,506,2021-08-16,1023.17
189,506,2021-08-23,3735.39
190,506,2021-08-30,1942.08
191,506,2021-09-06,2610.66
192,506,2021-09-13,3844.84
193,506,2021-09-20,2924.08
194,506,2021-09-27,3853.8
195,506,2021-10-04,4746.33
196,506,2021-10-11,1176.71
197,506,2021-10-18,1350.64
198,506,2021-10-25,2502.48
199,506,2021-11-01,1542.95
200,506,2021-11-08,3351.69
201,506,2021-11-15,4875.9
202,506,2021-11-22,3855.92
203,506,2021-11-29,3870.22
204,506,2021-12-06,2081.91
205,506,2021-12-13,3348.71
206,506,2021-12-20,3505.29
207,506,2021-12-27,4613.3
208,506,2022-01-03,3729.64
209,506,2022-01-10,3773.14
210,506,2022-01-17,1460.14
211,506,2022-01-24,3682.13
212,506,2022-01-31,4504.47
213,506,2022-02-07,2096.12
214,506,2022-02-14,1221.26
215,506,2022-02-21,2231.95
216,506,2022-02-28,2152.39
217,506,2022-03-07,1420.11
218,506,2022-03-14,2509.84
219,506,2022-03-21,4303.08
220,506,2022-03-28,4557.63
221,506,2022-04-04,4325.54
222,506,2022-04-11,4769.89
223,506,2022-04-18,4713.2
224,506,2022-04-25,1728.91
225,506,2022-05-02,1172.08
226,506,2022-05-09,1615.67
227,506,2022-05-16,2789.23
228,506,2022-05-23,4403.7
229,506,2022-05-30,3070.67
230,506,2022-06-06,4599.21
231,506,2022-06-13,1271.93
232,506,2022-06-20,4740.35
233,506,2022-06-27,4530.0
234,506,2022-07-04,3710.02
235,506,2022-07-11,1842.54
236,506,2022-07-18,4756.73
237,506,2022-07-25,1870.71
238,506,2022-08-01,4779.56
239,506,2022-08-08,4741.09
240,506,2022-08-15,4243.49
241,506,2022-08-22,4550.95
242,506,2022-08-29,3172.16
243,506,2022-09-05,3850.43
244,506,2022-09-12,1086.85
245,506,2022-09-19,1073.31
246,506,2022-09-26,4735.43
247,506,2022-10-03,2107.65
248,506,2022-10-10,4284.11
249,506,2022-10-17,2604.15
250,506,2022-10-24,4258.98
251,506,2022-10-31,1508.22
252,506,2022-11-07,1681.0
253,506,2022-11-14,3594.79
254,506,2022-11-21,1000.32
255,506,2022-11-28,2421.22
256,506,2022-12-05,1332.35
257,506,2022-12-12,2047.75
258,506,2022-12-19,4325.35
259,506,2022-12-26,4724.1
260,506,2023-01-02,2735.7
261,506,2023-01-09,4283.1
262,506,2023-01-16,1062.25
263,506,2023-01-23,4087.8
264,506,2023-01-30,4871.36
265,506,2023-02-06,3716.22
266,506,2023-02-13,4027.65
267,506,2023-02-20,4263.42
268,506,2023-02-27,2452.12
269,506,2023-03-06,1402.56
270,506,2023-03-13,2719.4
271,506,2023-03-20,1148.94
272,506,2023-03-27,3712.1
273,506,2023-04-03,4464.83
274,506,2023-04-10,4487.98
275,506,2023-04-17,4417.48
276,506,2023-04-24,2449.38
277,506,2023-05-01,3435.32
278,506,2023-05-08,2543.51
279,506,2023-05-15,1085.03
280,506,2023-05-22,2397.01
281,506,2023-05-29,4682.37
282,506,2023-06-05,2991.62
283,506,2023-06-12,3801.35
284,506,2023-06-19,4257.46
285,506,2023-06-26,1280.07
286,506,2023-07-03,2441.97
287,506,2023-07-10,4925.19
288,506,2023-07-17,1085.28
289,506,2023-07-24,4953.21
290,506,2023-07-31,4148.68
291,506,2023-08-07,1449.39
292,506,2023-08-14,3122.82
293,506,2023-08-21,4763.62
294,506,2023-08-28,4169.75
295,506,2023-09-04,4131.88
296,506,2023-09-11,3946.48
297,506,2023-09-18,1165.92
298,506,2023-09-25,3403.46
299,506,2023-10-02,2217.82
300,506,2023-10-09,1774.54
