,DMA_code,Date,TV GRP
0,543,2021-01-04,294.44
1,543,2021-01-11,422.57
2,543,2021-01-18,162.56
3,543,2021-01-25,312.76
4,543,2021-02-01,291.17
5,543,2021-02-08,431.72
6,543,2021-02-15,467.64
7,543,2021-02-22,145.32
8,543,2021-03-01,333.06
9,543,2021-03-08,266.41
10,543,2021-03-15,290.78
11,543,2021-03-22,433.66
12,543,2021-03-29,368.35
13,543,2021-04-05,303.21
14,543,2021-04-12,324.7
15,543,2021-04-19,441.79
16,543,2021-04-26,434.84
17,543,2021-05-03,236.89
18,543,2021-05-10,145.33
19,543,2021-05-17,162.66
20,543,2021-05-24,228.98
21,543,2021-05-31,486.17
22,543,2021-06-07,472.86
23,543,2021-06-14,460.51
24,543,2021-06-21,325.48
25,543,2021-06-28,299.16
26,543,2021-07-05,199.55
27,543,2021-07-12,371.42
28,543,2021-07-19,452.33
29,543,2021-07-26,436.28
30,543,2021-08-02,404.25
31,543,2021-08-09,197.61
32,543,2021-08-16,330.38
33,543,2021-08-23,189.97
34,543,2021-08-30,421.53
35,543,2021-09-06,468.91
36,543,2021-09-13,475.14
37,543,2021-09-20,468.03
38,543,2021-09-27,213.97
39,543,2021-10-04,183.92
40,543,2021-10-11,132.98
41,543,2021-10-18,399.69
42,543,2021-10-25,484.83
43,543,2021-11-01,147.57
44,543,2021-11-08,291.06
45,543,2021-11-15,209.21
46,543,2021-11-22,391.78
47,543,2021-11-29,445.8
48,543,2021-12-06,240.32
49,543,2021-12-13,373.68
50,543,2021-12-20,259.37
51,543,2021-12-27,479.46
52,543,2022-01-03,100.86
53,543,2022-01-10,407.36
54,543,2022-01-17,117.27
55,543,2022-01-24,389.97
56,543,2022-01-31,479.98
57,543,2022-02-07,454.07
58,543,2022-02-14,147.53
59,543,2022-02-21,129.07
60,543,2022-02-28,467.63
61,543,2022-03-07,209.79
62,543,2022-03-14,170.4
63,543,2022-03-21,193.32
64,543,2022-03-28,314.33
65,543,2022-04-04,127.2
66,543,2022-04-11,110.56
67,543,2022-04-18,334.55
68,543,2022-04-25,274.64
69,543,2022-05-02,459.68
70,543,2022-05-09,323.44
71,543,2022-05-16,332.64
72,543,2022-05-23,467.59
