ZIP_CODE,DMA_code,DMA
01001,543,SPRINGFIELD - HOLYOKE
01002,543,SPRINGFIELD - HOLYOKE
01003,543,SPRINGFIELD - HOLYOKE
01004,543,SPRINGFIELD - HOLYOKE
01005,506,BOSTON (MANCHESTER)
01007,543,SPRINGFIELD - HOLYOKE
01008,543,SPRINGFIELD - HOLYOKE
01009,543,SPRINGFIELD - HOLYOKE
01010,543,SPRINGFIELD - HOLYOKE
01011,543,SPRINGFIELD - HOLYOKE
01012,543,SPRINGFIELD - HOLYOKE
01013,543,SPRINGFIELD - HOLYOKE
01014,543,SPRINGFIELD - HOLYOKE
01020,543,SPRINGFIELD - HOLYOKE
01021,543,SPRINGFIELD - HOLYOKE
01022,543,SPRINGFIELD - HOLYOKE
01026,543,SPRINGFIELD - HOLYOKE
01027,543,SPRINGFIELD - HOLYOKE
01028,543,SPRINGFIELD - HOLYOKE
01029,532,ALBANY - SCHENECTADY - TROY
01030,543,SPRINGFIELD - HOLYOKE
01031,506,BOSTON (MANCHESTER)
01032,543,SPRINGFIELD - HOLYOKE
01033,543,SPRINGFIELD - HOLYOKE
01034,543,SPRINGFIELD - HOLYOKE
01035,543,SPRINGFIELD - HOLYOKE
01036,543,SPRINGFIELD - HOLYOKE
01037,506,BOSTON (MANCHESTER)
01038,543,SPRINGFIELD - HOLYOKE
01039,543,SPRINGFIELD - HOLYOKE
01040,543,SPRINGFIELD - HOLYOKE
01041,543,SPRINGFIELD - HOLYOKE
01050,543,SPRINGFIELD - HOLYOKE
01053,543,SPRINGFIELD - HOLYOKE
01054,543,SPRINGFIELD - HOLYOKE
01056,543,SPRINGFIELD - HOLYOKE
01057,543,SPRINGFIELD - HOLYOKE
01059,543,SPRINGFIELD - HOLYOKE
01060,543,SPRINGFIELD - HOLYOKE
01061,543,SPRINGFIELD - HOLYOKE
01062,543,SPRINGFIELD - HOLYOKE
01063,543,SPRINGFIELD - HOLYOKE
01066,543,SPRINGFIELD - HOLYOKE
01068,506,BOSTON (MANCHESTER)
01069,543,SPRINGFIELD - HOLYOKE
01070,543,SPRINGFIELD - HOLYOKE
01071,543,SPRINGFIELD - HOLYOKE
01072,543,SPRINGFIELD - HOLYOKE
01073,543,SPRINGFIELD - HOLYOKE
01074,506,BOSTON (MANCHESTER)
01075,543,SPRINGFIELD - HOLYOKE
01077,543,SPRINGFIELD - HOLYOKE
01079,543,SPRINGFIELD - HOLYOKE
01080,543,SPRINGFIELD - HOLYOKE
01081,543,SPRINGFIELD - HOLYOKE
01082,543,SPRINGFIELD - HOLYOKE
01083,506,BOSTON (MANCHESTER)
01084,543,SPRINGFIELD - HOLYOKE
01085,543,SPRINGFIELD - HOLYOKE
01086,543,SPRINGFIELD - HOLYOKE
01088,543,SPRINGFIELD - HOLYOKE
01089,543,SPRINGFIELD - HOLYOKE
01090,543,SPRINGFIELD - HOLYOKE
01092,506,BOSTON (MANCHESTER)
01093,543,SPRINGFIELD - HOLYOKE
01094,506,BOSTON (MANCHESTER)
01095,543,SPRINGFIELD - HOLYOKE
01096,543,SPRINGFIELD - HOLYOKE
